City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,13.34,65,75,3.45,AU,1691132070
1,al hilaliyya,14.9398,33.234,30.37,54,81,6.11,SD,1691132576
2,mont-dore,-22.2833,166.5833,20.56,99,100,6.82,NC,1691132576
3,emerald,-23.5333,148.1667,24.08,32,0,4.99,AU,1691132577
4,kodiak,57.79,-152.4072,12.73,88,75,0.0,US,1691132082
5,bumba,2.1833,22.4667,23.8,87,100,1.96,CD,1691132577
6,kone,-21.0595,164.8658,18.8,78,90,3.06,NC,1691132064
7,victoria falls,-17.9235,25.843,17.04,42,0,4.29,ZW,1691132578
8,stolin,51.8912,26.846,21.06,68,91,2.86,BY,1691132579
9,castillos,-34.1667,-53.8333,10.09,65,100,0.93,UY,1691132257
10,atafu village,-8.5421,-172.5159,28.49,69,100,5.49,TK,1691132100
11,ribeira brava,32.65,-17.0667,23.34,81,46,3.51,PT,1691132580
12,constantia,44.1833,28.65,26.38,61,0,4.65,RO,1691132129
13,adamstown,-25.066,-130.1015,19.23,78,100,4.55,PN,1691132033
14,bethel,41.3712,-73.414,22.2,78,75,3.6,US,1691132042
15,happy valley-goose bay,53.3168,-60.3315,16.17,72,75,0.0,CA,1691132248
16,port-aux-francais,-49.35,70.2167,2.58,88,70,14.48,TF,1691132044
17,ust'-kulom,61.6864,53.6902,27.57,43,7,0.38,RU,1691132582
18,itaituba,-4.2761,-55.9836,22.71,71,9,0.2,BR,1691132474
19,pisco,-13.7,-76.2167,14.03,88,13,2.57,PE,1691132583
20,mugia,43.1041,-9.2179,17.97,73,59,6.76,ES,1691132044
21,papatowai,-46.5619,169.4708,7.57,85,80,3.59,NZ,1691132110
22,mount isa,-20.7333,139.5,26.87,28,1,4.12,AU,1691132176
23,codrington,-38.2667,141.9667,11.26,79,100,8.31,AU,1691132184
24,galliano,29.4422,-90.2992,28.0,78,3,2.48,US,1691132585
25,howrah,22.5892,88.3103,33.0,66,75,5.14,IN,1691132098
26,college,64.8569,-147.8028,23.99,53,75,0.0,US,1691132041
27,tofol,5.3248,163.0078,27.88,83,100,1.54,FM,1691132227
28,bilibino,68.0546,166.4372,10.26,97,100,0.45,RU,1691132038
29,iqaluit,63.7506,-68.5145,7.85,87,75,1.03,CA,1691132046
30,yumbe,3.4651,31.2469,22.94,73,86,2.7,UG,1691132587
31,fang,19.9169,99.2145,28.63,83,82,2.04,TH,1691132587
32,queenstown,-31.8976,26.8753,11.66,41,100,2.51,ZA,1691132168
33,aasiaat,68.7098,-52.8699,0.81,95,100,0.48,GL,1691132142
34,cabo san lucas,22.8909,-109.9124,30.84,71,70,2.24,MX,1691132223
35,vernon,50.2581,-119.2691,21.83,37,0,3.6,CA,1691132401
36,derzhavinsk,51.1,66.3167,27.84,41,10,5.58,KZ,1691132589
37,grande prairie,55.1667,-118.8027,12.1,94,0,1.54,CA,1691132423
38,grytviken,-54.2811,-36.5092,-6.14,70,16,3.01,GS,1691132036
39,thompson,55.7435,-97.8558,16.09,88,40,1.03,CA,1691132081
40,luganville,-15.5333,167.1667,21.08,94,100,2.52,VU,1691132478
41,waitangi,-43.9535,-176.5597,9.9,91,88,1.79,NZ,1691132051
42,san antonio de pale,-1.4014,5.6325,22.4,75,66,3.59,GQ,1691132192
43,yellowknife,62.456,-114.3525,18.29,72,75,1.03,CA,1691132054
44,saipan,15.1355,145.701,31.39,100,0,3.09,MP,1691132080
